Name,Oligomerization
GFP(S65A)-Dimer,Oligomer
GFP(S65C)-Dimer,Oligomer
GFP(S65L)-Dimer,Oligomer
GFP(S65T)-Dimer,Oligomer
GFP(Y66F)-Dimer,Oligomer
GFP(Y66H)-Dimer,Oligomer
YFP(H146G)-Dimer,Oligomer
YFP-Dimer,Oligomer
avGFP508-Dimer,Oligomer
hcCP(C148S)-Dimer,Oligomer
cGFP-Dimer,Oligomer
t-HcRed1-Dimer,Oligomer
d2EosFP(BeforeandAfterPhotoconversion)-Dimer,Oligomer
d1EosFP(BeforeandAfterPhotoconversion)-Dimer,Oligomer
Dimer2-Dimer,Oligomer
phiYFP(wild-type)-Dimer,Oligomer
anm1GFP1-Dimer,Oligomer
anm1GFP2-Dimer,Oligomer
zRFP574-Dimer,Oligomer
TurboGFP-Dimer,Oligomer
copGFP-Dimer,Oligomer
TurboGFP-V197L-Dimer,Oligomer
dTFP0.1-Dimer,Oligomer
dTFP0.2-Dimer,Oligomer
CpYGFP(wild-type)-Dimer,Oligomer
dKeima-Dimer,Oligomer
dKeima570-Dimer,Oligomer
Azurite-Dimer,Oligomer
Ypet-Dimer,Oligomer
SGFP2(206A)-Dimer,Oligomer
td-RFP611-Dimer,Oligomer
d-RFP618-Dimer,Oligomer
td-RFP639-Dimer,Oligomer
TurboRFP-Dimer,Oligomer
TurboFP602-Dimer,Oligomer
Neptune-Dimer,Oligomer
GCaMP2(Dimer)-Dimer,Oligomer
KCY-Dimer,Oligomer
KCY-R1-Dimer,Oligomer
KillerRed-Dimer,Oligomer
KillerRed(E68Q)-Dimer,Oligomer
KillerRed(S119A)-Dimer,Oligomer
KillerRed(A220T)-Dimer,Oligomer
KilleRed-Dimer,Oligomer
CpYGFP(H52T)-Dimer,Oligomer
CpYGFP(H52D)-Dimer,Oligomer
CpYGFP(H52F)-Dimer,Oligomer
eGFP205C-Dimer,Oligomer
PATagRFP1314-Dimer,Oligomer
cgreGFP-Dimer,Oligomer
GFP(F64L/Q80R/I167T/K238N)-Dimer,Oligomer
VFP-Dimer,Oligomer
dVFP-Dimer,Oligomer
cgreGFP-Dimer,Oligomer
cgreFP1-Dimer,Oligomer
pmimGFP1(K5T/C8S/R9A)-Dimer,Oligomer
Katushka-Dimer,Oligomer
Katushka-Dimer,Oligomer
dLanYFP-Dimer,Oligomer
TurboYFP-Dimer,Oligomer
TagGFP-Dimer,Oligomer
Jred-Dimer,Oligomer
AcGFP1-Dimer,Oligomer
mCitrine-Monomer,Monomer
aceGFP(N19D/K101E/V11I/E222G)-Monomer,Monomer
mAG-Monomer,Monomer
mRaspberry-Monomer,Monomer
mEosFP(BeforeandAfterPhotoconversion)-Monomer,Monomer
mRFP1-Monomer,Monomer
mTangerine-Monomer,Monomer
mOrange-Monomer,Monomer
mBanana-Monomer,Monomer
mHoneydew-Monomer,Monomer
mPlum-Monomer,Monomer
Dronpa(BeforeandAfterPhotoactivation)-Monomer,Monomer
MiCy-Monomer,Monomer
mmGFP-Monomer,Monomer
PS-CFP(BeforeandAfterPhotoswitching)-Monomer,Monomer
SuperfolderGFP-Monomer,Monomer
PA-mRFP1-1(BeforeandAfterPhotoactivation)-Monomer,Monomer
TagRFP657-Monomer,Monomer
Dendra2(BeforeandAfterPhotoconversion)-Monomer,Monomer
mRFP1-Q66C-Monomer,Monomer
mRFP1-Q66S-Monomer,Monomer
mRFP1-Q66T-Monomer,Monomer
mCherry-Monomer,Monomer
mStrawberry(pH9.5)-Monomer,Monomer
mTFP1-Monomer,Monomer
mTFP.07-Monomer,Monomer
mTFP0.3-Monomer,Monomer
mCerulean-Monomer,Monomer
SCFP3A-Monomer,Monomer
mVenus-Monomer,Monomer
SYFP2-Monomer,Monomer
SCFP2-Monomer,Monomer
SCFP3A-Monomer,Monomer
SCFP3B-Monomer,Monomer
Cerulean(A206K)-Monomer,Monomer
GFPxm161-Monomer,Monomer
GFPxm162-Monomer,Monomer
GFPxm163-Monomer,Monomer
GFPxm191uv-Monomer,Monomer
GFPxm19uv-Monomer,Monomer
GFPxm181uv-Monomer,Monomer
OFPxm-Monomer,Monomer
ShG24-Monomer,Monomer
GFPxm16-Monomer,Monomer
GFPxm18uv-Monomer,Monomer
GFPxm18-Monomer,Monomer
GFPxm19-Monomer,Monomer
GFPxm(wild-type)-Monomer,Monomer
E2GFP-Monomer,Monomer
mECFP-Monomer,Monomer
TagRFP-Monomer,Monomer
DsRed.M1-Monomer,Monomer
E2GFP-Monomer,Monomer
TagRFP-Monomer,Monomer
mKalama1-Monomer,Monomer
EBFP2-Monomer,Monomer
EBFP1.5-Monomer,Monomer
EBFP1.2-Monomer,Monomer
mBlueberry1-Monomer,Monomer
mBlueberry2-Monomer,Monomer
SGFP1-Monomer,Monomer
SGFP2-Monomer,Monomer
SGFP2(E222Q)-Monomer,Monomer
SGFP2(T65G)-Monomer,Monomer
SBFP1-Monomer,Monomer
SBFP2-Monomer,Monomer
Dronpa(BrightState)-Monomer,Monomer
Dronpa(BrightState)-Monomer,Monomer
mKate-Monomer,Monomer
TagRFP-T-Monomer,Monomer
GCaMP2(T116V/K378W)-Monomer,Monomer
GCaMP2(T116V/G87R)-Monomer,Monomer
rsCherry-Monomer,Monomer
rsCherryRev-Monomer,Monomer
mApple-Monomer,Monomer
mTFP1-Y67W-Monomer,Monomer
mTFP1-Y67H-Monomer,Monomer
G1-Monomer,Monomer
G2-Monomer,Monomer
G3-Monomer,Monomer
mWasabi-Monomer,Monomer
mKikGR(BeforeandAfterPhotoconversion)-Monomer,Monomer
mEGFP-Monomer,Monomer
mT-Sapphire-Monomer,Monomer
mKo(R69K)-Monomer,Monomer
mKo(E211A)-Monomer,Monomer
mKo(E211Q)-Monomer,Monomer
mTagGFP(TagGFP2)-Monomer,Monomer
mKG-Monomer,Monomer
mOrange2-Monomer,Monomer
bsDronpa-Monomer,Monomer
Phamret(BeforeandAfterPhotoactivation)-Monomer,Monomer
mAmetrine-Monomer,Monomer
mNeptune-Monomer,Monomer
tdKatushka2-Monomer,Monomer
mRuby-Monomer,Monomer
mUKG-Monomer,Monomer
mKOk-Monomer,Monomer
mKate2-Monomer,Monomer
Fast-FT(BeforeandAfterFluorescentTimer)-Monomer,Monomer
Medium-FT(BeforeandAfterFluorescentTimer)-Monomer,Monomer
Slow-FT(BeforeandAfterFluorescentTimer)-Monomer,Monomer
PAmCherry1(BeforeandAfterPhotoactivation)-Monomer,Monomer
PamCherry2(BeforeandAfterPhotoactivation)-Monomer,Monomer
PamCherry3(BeforeandAfterPhotoactivation)-Monomer,Monomer
mGrape1-Monomer,Monomer
mGrape2-Monomer,Monomer
mGrape3-Monomer,Monomer
mPlum(E16Q)-Monomer,Monomer
mPlum(E16H)-Monomer,Monomer
mPlum(E16L)-Monomer,Monomer
mKeima-Monomer,Monomer
mKeima-Monomer,Monomer
PA-GFP(BeforeandAfterPhotoactivation)-Monomer,Monomer
mLumin-Monomer,Monomer
mKate(S158C)-Monomer,Monomer
Sirius-Monomer,Monomer
mNectarine-Monomer,Monomer
LSS-mKate1-Monomer,Monomer
LSS-mKate2-Monomer,Monomer
Padron0.9-Monomer,Monomer
LSSmKate2(S158A)-Monomer,Monomer
LSSmKate2(S158T)-Monomer,Monomer
LSSmKate2(S158M)-Monomer,Monomer
PATagRFP-Monomer,Monomer
mTagBFP-Monomer,Monomer
mRouge-Monomer,Monomer
mRojoA-Monomer,Monomer
mRojoB-Monomer,Monomer
Padron0.9(BeforeandAfterPhotoactivation)-Monomer,Monomer
Padron0.9(L141P)-Monomer,Monomer
aceGFP-Monomer,Monomer
aceGFP_G222E(ColorlessForm)-Monomer,Monomer
aceGFP-G222E-Y220L-Monomer,Monomer
mClavGR1(BeforeandAfterPhotoconversion)-Monomer,Monomer
mClavGR2(BeforeandAfterPhotoconversion)-Monomer,Monomer
Turquoise-GL-Monomer,Monomer
mK-GO-Monomer,Monomer
mIrisFP(BeforeandAfterPhotoconversion)-Monomer,Monomer
mVFP-Monomer,Monomer
mVFP1-Monomer,Monomer
CircularPermutatedmKate-Monomer,Monomer
mKate(S158A)-Monomer,Monomer
GmKate-Monomer,Monomer
mKate(S143C)-Monomer,Monomer
mKate(cp154-153)-Monomer,Monomer
Dendra2M159A(BeforeandAfterPhotoconversion)-Monomer,Monomer
NijiFP(BeforeandAfterPhotoconversion)-Monomer,Monomer
Dreiklang-Monomer,Monomer
mCerulean2-Monomer,Monomer
mCerulean2.N-Monomer,Monomer
mCerulean2.N(T65S)-Monomer,Monomer
mCerulean3-Monomer,Monomer
mEosFPM159A(BeforeandAfterPhotoconversion)-Monomer,Monomer
mEosFPF173S(BeforeandAfterPhotoconversion)-Monomer,Monomer
PSmOrange(BeforeandAfterPhotoswitching)-Monomer,Monomer
PAmKate(BeforeandAfterPhotoactivation)-Monomer,Monomer
rsTagRFP(OFFState)-Monomer,Monomer
mPlum-E16P-Monomer,Monomer
mPlumAYC-E16A(Red)-Monomer,Monomer
mPlumAYC-E16P(Green)-Monomer,Monomer
mPlumAYC(Green)-Monomer,Monomer
mTurquoise-Monomer,Monomer
mTurquoise(K206A)-Monomer,Monomer
mTurquoise2-Monomer,Monomer
PSmOrange2(BeforeandAfterPhotoswitching)-Monomer,Monomer
mRuby2-Monomer,Monomer
FusionRed-Monomer,Monomer
LSSmOrange-Monomer,Monomer
SHardonnay-Monomer,Monomer
mNeonGreen-Monomer,Monomer
mPapaya1-Monomer,Monomer
mPapaya0.7-Monomer,Monomer
