Bioconductor,CRAN
affyio,abind
affylmGUI,acepack
affyPara,ade4
affypdnn,ape
affyPLM,assertthat
affyQCReport,automap
AffyRNADegradation,base64enc
AffyTiling,BH
AGDEX,Biostrings
agilp,Boruta
AgiMicroRna,BradleyTerry2
AIMS,brew
ALDEx2,brglm
AllelicImbalance,C50
alsace,Cairo
altcdfenvs,car
ampliQueso,caret
AnalysisPageServer,caretEnsemble
annaffy,caTools
annmap,chron
annotate,coefplot
AnnotationDbi,coin
AnnotationForge,combinat
AnnotationFuncs,CORElearn
AnnotationHub,corrplot
annotationTools,Cubist
anota,cvTools
antiProfiles,DAAGbio
apComplex,data.table
aroma.light,dendextend
ArrayExpress,DEoptimR
ArrayExpressHTS,devtools
arrayMvout,DiagrammeR
arrayQuality,directlabels
arrayQualityMetrics,doMC
ArrayTools,earth
ArrayTV,elasticnet
ARRmNormalization,enpls
ASEB,entropy
ASGSCA,evaluate
ASSET,FastRWeb
ASSIGN,FNN
AtlasRDF,formatR
attract,Formula
BAC,frbs
BADER,FSelector
BAGS,GA
ballgown,gbm
bamsignals,gdata
Basic4Cseq,GGally
BayesPeak,ggbiplot
baySeq,ggdendro
BCRANK,gist
beadarray,gitgist
beadarraySNP,github
BeadDataPackR,githubgist
BEAT,gmodels
BEclear,googleVis
betr,gplots
bgafun,gpls
BGmix,gridExtra
bgx,gstat
BHC,gsubfn
BicARE,gtools
BiGGR,guitar
bigmemoryExtras,hexView
bioassayR,hflights
Biobase,highr
BiocCaseStudies,HistData
BiocCheck,Hmisc
BiocGenerics,htmltools
biocGraph,htmlwidgets
BiocInstaller,httpuv
BiocParallel,httr
BiocStyle,hydroGOF
biocViews,hydroTSM
bioDist,intervals
biomaRt,ipred
BioMVCClass,jpeg
biomvRCNS,jsonlite
BioNet,kernlab
BioSeqClass,klaR
Biostrings,knitr
biosvd,lars
biovizBase,latticeExtra
BiRewire,lava
birta,lazyeval
birte,leaps
BiSeq,limma
BitSeq,lme4
blima,lubridate
BRAIN,magrittr
BrainStars,manipulate
bridge,maptools
BridgeDbR,markdown
BrowserViz,MASS
BrowserVizDemo,matrixStats
BSgenome,mboost
bsseq,MEET
BubbleTree,memoise
BufferedMatrix,Metrics
BufferedMatrixMethods,mime
bumphunter,minqa
BUS,mlbench
CAFE,modeltools
CAGEr,mosaic
CALIB,mosaicData
CAMERA,muscle
canceR,mvtnorm
cancerclass,networkD3
CancerMutationAnalysis,nloptr
CAnD,NLP
Cardinal,nnls
casper,numDeriv
Category,packrat
categoryCompare,pander
ccrepe,party
cellGrowth,pbapply
cellHTS,pbkrtest
cellHTS2,pcaMethods
CellNOptR,penalized
CexoR,permute
CFAssay,phyclust
CGEN,PKI
CGHbase,plotmo
CGHcall,plotrix
cghMCR,pls
CGHnormaliter,plsdepot
CGHregions,pROC
ChAMP,prodlim
charm,profileModel
ChemmineOB,prospectr
ChemmineR,protr
chimera,pryr
chipenrich,quadprog
ChIPpeakAnno,quantreg
ChIPQC,R.methodsS3
ChIPseeker,R.oo
chipseq,R.utils
ChIPseqR,R6
ChIPsim,randomForest
ChIPXpress,RANN
chopsticks,Rcpp
chroGPS,RcppArmadillo
chromDraw,readxl
ChromHeatMap,rediscc
cisPath,reshape
ClassifyR,reshape2
cleanUpdTSeq,rFerns
cleaver,RJSONIO
clippda,rlist
clipper,rmarkdown
Clomial,robustbase
Clonality,ROCR
clonotypeR,Rook
clst,ROSE
clstutils,roxygen2
clusterProfiler,rpart.plot
clusterStab,rplos
CMA,RSclient
cn.farms,Rserve
cn.mops,RSNNS
CNAnorm,rstudio
CNEr,rstudioapi
CNORdt,RXKCD
CNORfeeder,sandwich
CNORfuzzy,SDMTools
CNORode,sendmailR
CNTools,seqinr
cnvGSA,shinyAce
CNVrd2,shinyapps
CNVtools,slam
cobindR,soil.spec
CoCiteStats,solr
codelink,sp
CODEX,spacetime
CoGAPS,SparseM
cogena,sqldf
coGPS,stabs
COHCAP,strucchange
coMET,tm
COMPASS,tree
compcodeR,unbalanced
compEpiTools,UniProt.ws
CompGO,unixtools
ComplexHeatmap,useful
ConsensusClusterPlus,UsingR
conumee,uuid
convert,vegan
copa,wavelets
copynumber,WDI
CopyNumber450k,whisker
CopywriteR,XML
CoRegNet,xtable
Cormotif,xts
CorMut,yaml
coRNAi,zoo
CORREP,base
cosmiq,bitops
COSNet,boot
CoverageView,class
cpvSNP,cluster
cqn,codetools
CRImage,colorspace
CRISPRseek,compiler
crlmm,datasets
CSAR,DBI
csaw,dichromat
CSSP,digest
ctc,doParallel
cummeRbund,fingerprint
customProDB,fmcsR
cycle,foreach
cytofkit,foreign
dagLogo,gcookbook
daMA,GenomeInfoDb
DART,ggplot2
DASiR,GO.db
DAVIDQuery,GOSemSim
DBChIP,graphics
ddCt,grDevices
ddgraph,grid
DECIPHER,gtable
DeconRNASeq,IRanges
DEDS,iterators
deepSNV,KernSmooth
DEGraph,labeling
DEGreport,lattice
DEGseq,manipulate
deltaGseg,MASS
derfinder,Matrix
derfinderHelper,methods
derfinderPlot,mgcv
DESeq,munsell
DESeq2,nlme
DEXSeq,nnet
dexus,parallel
DFP,plyr
DiffBind,png
diffGeneAnalysis,proto
diffHic,rcdklibs
diggit,RColorBrewer
DirichletMultinomial,Rcpp
dks,reshape2
DMRcaller,rjson
DMRcate,rpart
DMRforPairs,RSQLite
DNAcopy,rstudio
domainsignatures,RUnit
DOQTL,RWeka
DOSE,RWekajars
DriverNet,S4Vectors
DrugVsDisease,scales
DSS,spatial
DTA,splines
dualKS,stats
DupChecker,stats4
dyebias,stringr
DynDoc,survival
EasyqpcR,tcltk
easyRNASeq,tools
EBarrays,utils
EBcoexpress,XVector
EBImage,
EBSeq,
EBSeqHMM,
ecolitk,
EDASeq,
EDDA,
edge,
edgeR,
eiR,
eisa,
ELBOW,
EMDomics,
ENCODExplorer,
ENmix,
EnrichmentBrowser,
ensembldb,
ensemblVEP,
ENVISIONQuery,
epigenomix,
epivizr,
erccdashboard,
ExiMiR,
exomeCopy,
exomePeak,
explorase,
ExpressionView,
fabia,
facopy,
factDesign,
farms,
fastLiquidAssociation,
fastseg,
fdrame,
FEM,
ffpe,
FGNet,
FISHalyseR,
flagme,
flipflop,
flowBeads,
flowBin,
flowcatchR,
flowCHIC,
flowCL,
flowClean,
flowClust,
flowCore,
flowCyBar,
flowDensity,
flowFit,
flowFP,
flowMap,
flowMatch,
flowMeans,
flowMerge,
flowPeaks,
flowPlots,
flowQ,
flowQB,
FlowRepositoryR,
FlowSOM,
flowStats,
flowTrans,
flowType,
flowUtils,
flowViz,
flowVS,
flowWorkspace,
fmcsR,
focalCall,
FourCSeq,
FRGEpistasis,
frma,
frmaTools,
FunciSNP,
gaga,
gage,
gaggle,
gaia,
gaucho,
gCMAP,
gCMAPWeb,
gcrma,
gdsfmt,
geecc,
genArise,
GENE.E,
GeneAnswers,
GeneExpressionSignature,
genefilter,
genefu,
GeneGA,
GeneMeta,
GeneNetworkBuilder,
GeneOverlap,
geneplotter,
geneRecommender,
GeneRegionScan,
geneRxCluster,
GeneSelectMMD,
GeneSelector,
GENESIS,
geNetClassifier,
GeneticsDesign,
GeneticsPed,
genoCN,
genomation,
GenomeGraphs,
GenomeInfoDb,
genomeIntervals,
genomes,
GenomicAlignments,
GenomicFeatures,
GenomicFiles,
GenomicInteractions,
GenomicRanges,
GenomicTuples,
Genominator,
genoset,
GenoView,
GEOmetadb,
GEOquery,
GEOsubmission,
gespeR,
GEWIST,
GGBase,
ggbio,
GGtools,
ggtree,
girafe,
GLAD,
GlobalAncova,
globaltest,
gmapR,
GOexpress,
GOFunction,
GoogleGenomics,
goProfiles,
GOSemSim,
goseq,
GOSim,
GOstats,
GOsummaries,
GOTHiC,
goTools,
gpls,
gprege,
gQTLBase,
gQTLstats,
graph,
GraphAlignment,
GraphAT,
graphite,
GraphPAC,
GRENITS,
GreyListChIP,
groHMM,
GSAR,
GSCA,
GSEABase,
GSEAlm,
GSReg,
GSRI,
GSVA,
gtrellis,
Gviz,
gwascat,
GWASTools,
h5vc,
hapFabia,
Harshlight,
HCsnip,
HDTD,
Heatplus,
HELP,
HEM,
hiAnnotator,
HIBAG,
HilbertVis,
HilbertVisGUI,
hiReadsProcessor,
HiTC,
HMMcopy,
hopach,
hpar,
HTqPCR,
HTSanalyzeR,
HTSeqGenie,
htSeqTools,
HTSFilter,
HybridMTest,
hyperdraw,
hypergraph,
iASeq,
iBBiG,
ibh,
iBMQ,
Icens,
iChip,
iClusterPlus,
IdeoViz,
idiogram,
IdMappingAnalysis,
IdMappingRetrieval,
illuminaio,
imageHTS,
immunoClust,
IMPCdata,
impute,
InPAS,
INPower,
inSilicoDb,
inSilicoMerging,
intansv,
interactiveDisplay,
interactiveDisplayBase,
inveRsion,
iontree,
iPAC,
IPPD,
IRanges,
iSeq,
isobar,
IsoGeneGUI,
ITALICS,
iterativeBMA,
iterativeBMAsurv,
IVAS,
jmosaics,
joda,
KCsmart,
kebabs,
KEGGgraph,
keggorthology,
KEGGprofile,
KEGGREST,
lapmix,
LBE,
LEA,
les,
limma,
limmaGUI,
LiquidAssociation,
lmdme,
LMGene,
logicFS,
logitT,
lol,
LowMACA,
LPE,
LPEadj,
lpNet,
lumi,
LVSmiRNA,
M3D,
maanova,
macat,
maCorrPlot,
made4,
maigesPack,
MAIT,
makecdfenv,
MANOR,
manta,
MantelCorr,
mAPKL,
maPredictDSC,
marray,
maSigPro,
maskBAD,
MassArray,
massiR,
MassSpecWavelet,
matchBox,
MatrixRider,
MBAmethyl,
MBASED,
MBCB,
mBPCR,
mcaGUI,
MCRestimate,
mdgsa,
mdqc,
MeasurementError.cor,
MEDIPS,
MEDME,
MEIGOR,
MergeMaid,
MeSHDbi,
meshr,
MeSHSim,
messina,
metaArray,
Metab,
metabomxtr,
metagene,
metagenomeSeq,
metahdep,
metaMS,
metaSeq,
metaseqR,
MethTargetedNGS,
methVisual,
methyAnalysis,
MethylAid,
MethylMix,
methylMnM,
methylPipe,
MethylSeekR,
methylumi,
Mfuzz,
MGFM,
mgsa,
MiChip,
microRNA,
MIMOSA,
MineICA,
minet,
minfi,
MinimumDistance,
MiPP,
MiRaGE,
miRNApath,
miRNAtap,
Mirsynergy,
missMethyl,
mitoODE,
MLInterfaces,
MLP,
MLSeq,
MMDiff,
mmnet,
MmPalateMiRNA,
mogsa,
monocle,
MoPS,
mosaics,
MotifDb,
motifRG,
motifStack,
MotIV,
MPFE,
mQTL.NMR,
msa,
MSGFgui,
MSGFplus,
msmsEDA,
msmsTests,
MSnbase,
MSnID,
MSstats,
Mulcom,
MultiMed,
multiscan,
multtest,
muscle,
MVCClass,
mvGST,
mygene,
mzID,
mzR,
NanoStringQCPro,
NarrowPeaks,
ncdfFlow,
NCIgraph,
neaGUI,
nem,
netbenchmark,
netbiov,
nethet,
NetPathMiner,
netresponse,
NetSAM,
networkBMA,
NGScopy,
nnNorm,
NOISeq,
nondetects,
NormqPCR,
npGSEA,
NTW,
nucleR,
nudge,
NuPoP,
occugene,
OCplus,
oligo,
oligoClasses,
OLIN,
OLINgui,
omicade4,
OmicCircos,
OmicsMarkeR,
OncoSimulR,
oneChannelGUI,
ontoCAT,
openCyto,
oposSOM,
OrderedList,
OrganismDbi,
OSAT,
OTUbase,
OutlierD,
PAA,
PADOG,
paircompviz,
pandaR,
PAnnBuilder,
panp,
PANR,
PAPi,
parglms,
parody,
pathifier,
PathNet,
pathRender,
pathview,
paxtoolsr,
Pbase,
pcaGoPromoter,
pcaMethods,
pcot2,
PCpheno,
pdInfoBuilder,
pdmclass,
PECA,
pepStat,
pepXMLTab,
PGSEA,
phenoDist,
phenoTest,
PhenStat,
phyloseq,
piano,
pickgene,
PICS,
PING,
pint,
pkgDepTools,
plateCore,
plethy,
plgem,
plier,
PLPE,
plrs,
plw,
pmm,
podkat,
polyester,
Polyfit,
ppiStats,
prada,
prebs,
PREDA,
predictionet,
preprocessCore,
proBAMr,
PROcess,
procoil,
ProCoNA,
pRoloc,
pRolocGUI,
PROMISE,
PROPER,
prot2D,
proteinProfiles,
proteoQC,
ProtGenerics,
PSEA,
PSICQUIC,
puma,
pvac,
pvca,
Pviz,
PWMEnrich,
pwOmics,
qcmetrics,
